negative([medium, light, red, wood, square]).
positive([medium, heavy, red, metal, triangle]).
positive([large, heavy, red, metal, circle]).
negative([small, medium, blue, metal, triangle]).
positive([small, heavy, red, metal, square]).
negative([medium, light, red, metal, square]).
positive([small, heavy, red, metal, triangle]).
negative([small, medium, blue, paper, triangle]).
positive([medium, heavy, red, metal, square]).
negative([large, light, red, wood, square]).
positive([small, heavy, red, metal, triangle]).
negative([medium, medium, blue, paper, triangle]).
positive([large, heavy, red, metal, triangle]).
negative([small, light, red, wood, square]).
positive([large, heavy, blue, metal, square]).
negative([small, heavy, red, wood, triangle]).
negative([medium, medium, blue, paper, triangle]).
negative([small, medium, red, wood, circle]).
negative([medium, light, white, wood, triangle]).
negative([large, light, red, paper, triangle]).
positive([large, heavy, red, metal, circle]).
negative([medium, medium, blue, wood, circle]).
negative([large, medium, white, wood, triangle]).
negative([large, light, red, paper, triangle]).
positive([small, heavy, red, metal, circle]).
negative([medium, medium, blue, wood, circle]).
negative([large, medium, red, paper, triangle]).
positive([medium, heavy, red, metal, square]).
negative([medium, medium, red, wood, square]).
negative([small, medium, white, wood, triangle]).
negative([small, medium, white, wood, triangle]).
